"id","Asset","realizedPL","date_closed","date_open","initialUnits","financing","dividendAdjustment","account_var","already_in_db","trade_col","Net_Profit"
"36784","XAG_USD",1.742,2025-11-21 04:55:49,2025-11-21 04:45:02,5,0,0,1,NA,"Long",1.742
"36878","XAG_USD",-3.0131,2025-11-21 13:47:07,2025-11-21 05:45:01,5,-0.0647,0,1,NA,"Long",-3.0778
"36882","XAG_USD",2.3362,2025-11-21 06:27:19,2025-11-21 05:45:03,5,0,0,1,NA,"Long",2.3362
"36886","XAG_USD",1.7342,2025-11-21 06:23:24,2025-11-21 05:45:05,5,0,0,1,NA,"Long",1.7342
"36983","XAG_USD",-3.001,2025-11-21 07:41:04,2025-11-21 06:45:03,5,0,0,1,NA,"Long",-3.001
"36987","XAG_USD",-2.9933,2025-11-21 07:41:04,2025-11-21 06:45:05,5,0,0,1,NA,"Long",-2.9933
"36991","XAG_USD",-2.9855,2025-11-21 07:41:03,2025-11-21 06:45:07,5,0,0,1,NA,"Long",-2.9855
"37081","XAG_USD",-3.0132,2025-11-21 12:13:05,2025-11-21 07:45:17,5,-0.0647,0,1,NA,"Long",-3.0779
"37085","XAG_USD",-2.9876,2025-11-21 12:13:05,2025-11-21 07:45:18,5,-0.0647,0,1,NA,"Long",-3.0523
"37089","XAG_USD",1.8441,2025-11-21 10:45:25,2025-11-21 07:45:20,5,-0.0647,0,1,NA,"Long",1.7794
"37171","XAG_USD",-3.0912,2025-11-21 12:12:32,2025-11-21 08:42:17,5,-0.0647,0,1,NA,"Long",-3.1559
"37175","XAG_USD",-3.0912,2025-11-21 12:12:32,2025-11-21 08:42:19,5,-0.0647,0,1,NA,"Long",-3.1559
"37179","XAG_USD",1.7284,2025-11-21 10:45:35,2025-11-21 08:42:21,5,-0.0647,0,1,NA,"Long",1.6637
"37452","XAG_USD",-3.0132,2025-11-21 12:04:31,2025-11-21 10:39:58,5,0,0,1,NA,"Long",-3.0132
"37456","XAG_USD",-3.021,2025-11-21 12:04:31,2025-11-21 10:40:00,5,0,0,1,NA,"Long",-3.021
"37460","XAG_USD",-3.0522,2025-11-21 12:04:31,2025-11-21 10:40:01,5,0,0,1,NA,"Long",-3.0522
"37560","XAG_USD",-3.0257,2025-11-21 12:04:34,2025-11-21 11:39:40,5,0,0,1,NA,"Long",-3.0257
