"id","Asset","realizedPL","date_closed","date_open","initialUnits","financing","dividendAdjustment","account_var","already_in_db","Net_Profit"
"24761","GBP_CAD",-8.1031,2025-11-11 05:10:34,2025-11-11 01:58:45,-3054,0,0,3,NA,-8.1031
"24765","GBP_USD",-6.2312,2025-11-11 08:09:13,2025-11-11 01:58:46,-2472,0,0,3,NA,-6.2312
"24779","NZD_USD",-8.0588,2025-11-11 04:46:56,2025-11-11 02:48:13,-3999,0,0,3,NA,-8.0588
"24795","NZD_USD",-7.9946,2025-11-11 04:50:07,2025-11-11 03:46:56,-3999,0,0,3,NA,-7.9946
"24803","GBP_CAD",-8.2039,2025-11-11 05:06:11,2025-11-11 03:58:43,-3054,0,0,3,NA,-8.2039
"24807","GBP_USD",-8.0292,2025-11-11 04:37:46,2025-11-11 03:58:44,-2472,0,0,3,NA,-8.0292
"24829","NZD_USD",-8.1201,2025-11-11 09:05:00,2025-11-11 04:47:57,-3999,0.0273,0,3,NA,-8.0928
"24839","GBP_CAD",-1.7084,2025-11-11 10:07:05,2025-11-11 05:01:30,-3054,-0.5119,0,3,NA,-2.2203
"24843","GBP_USD",0.2635,2025-11-11 10:07:02,2025-11-11 05:01:32,-2472,-0.1523,0,3,NA,0.1112
"24875","NZD_USD",0.9742,2025-11-11 10:56:21,2025-11-11 05:49:15,-3999,0.0273,0,3,NA,1.0015
"24895","NZD_USD",-1.0458,2025-11-11 11:57:43,2025-11-11 06:48:51,-3999,0.0273,0,3,NA,-1.0185
"24903","GBP_CAD",1.3267,2025-11-11 12:06:15,2025-11-11 06:57:57,-3054,-0.5119,0,3,NA,0.8148
"24907","GBP_USD",6.3656,2025-11-11 12:06:11,2025-11-11 06:57:59,-2472,-0.1523,0,3,NA,6.2133
"24919","NZD_USD",4.5084,2025-11-11 12:58:03,2025-11-11 07:49:09,-3999,0.0273,0,3,NA,4.5357
"24923","GBP_CAD",-1.3735,2025-11-11 14:06:28,2025-11-11 08:03:59,-3054,-0.5119,0,3,NA,-1.8854
"24927","GBP_USD",5.1987,2025-11-11 14:06:25,2025-11-11 08:04:01,-2472,-0.1523,0,3,NA,5.0464
"24943","NZD_USD",3.1698,2025-11-11 13:57:31,2025-11-11 08:50:14,-3999,0.0273,0,3,NA,3.1971
"24956","NZD_USD",0.1219,2025-11-11 14:57:35,2025-11-11 09:50:47,-3999,0,0,3,NA,0.1219
"24960","GBP_CAD",-5.7336,2025-11-11 16:04:51,2025-11-11 09:59:44,-3054,0,0,3,NA,-5.7336
"24964","GBP_USD",1.9236,2025-11-11 16:04:47,2025-11-11 09:59:46,-2472,0,0,3,NA,1.9236
"24976","NZD_USD",2.8669,2025-11-11 15:57:43,2025-11-11 10:48:59,-3999,0,0,3,NA,2.8669
"24986","NZD_USD",6.959,2025-11-11 16:59:13,2025-11-11 11:50:20,-3999,0,0,3,NA,6.959
"24998","GBP_CAD",11.4916,2025-11-11 18:05:18,2025-11-11 11:58:53,-3054,0,0,3,NA,11.4916
"25002","GBP_USD",14.8326,2025-11-11 18:05:14,2025-11-11 11:58:55,-2472,0,0,3,NA,14.8326
"25014","NZD_USD",0.7325,2025-11-11 17:56:57,2025-11-11 12:50:48,-3999,0,0,3,NA,0.7325
"25022","NZD_USD",1.1595,2025-11-11 18:57:21,2025-11-11 13:50:13,-3999,0,0,3,NA,1.1595
"25030","GBP_CAD",18.7965,2025-11-11 20:05:48,2025-11-11 13:59:07,-3054,0,0,3,NA,18.7965
"25034","GBP_USD",15.6935,2025-11-11 20:05:44,2025-11-11 13:59:09,-2472,0,0,3,NA,15.6935
"25046","NZD_USD",-2.0344,2025-11-11 19:57:24,2025-11-11 14:50:20,-3999,0,0,3,NA,-2.0344
"25054","NZD_USD",-2.5894,2025-11-11 20:58:27,2025-11-11 15:50:25,-3999,0,0,3,NA,-2.5894
"25062","GBP_CAD",20.6898,2025-11-11 20:05:41,2025-11-11 15:59:33,-3054,0,0,3,NA,20.6898
"25066","GBP_USD",16.5612,2025-11-11 20:05:37,2025-11-11 15:59:35,-2472,0,0,3,NA,16.5612
"25078","NZD_USD",-5.6685,2025-11-11 21:57:43,2025-11-11 16:51:57,-3999,0,0,3,NA,-5.6685
"25086","NZD_USD",-8.0101,2025-11-11 19:07:47,2025-11-11 17:49:39,-3999,0,0,3,NA,-8.0101
"25094","GBP_CAD",17.5019,2025-11-11 20:05:33,2025-11-11 18:00:00,-3054,0,0,3,NA,17.5019
"25098","GBP_USD",8.6767,2025-11-11 20:05:30,2025-11-11 18:00:02,-2472,0,0,3,NA,8.6767
"25128","NZD_USD",-8.0607,2025-11-12 00:26:29,2025-11-11 19:50:04,-3999,0,0,3,NA,-8.0607
"25132","USD_SEK",16.0559,2025-11-12 00:59:40,2025-11-11 19:50:06,-2326,0,0,3,NA,16.0559
"25178","NZD_USD",-8.0017,2025-11-12 00:21:42,2025-11-11 20:51:09,-3999,0,0,3,NA,-8.0017
"25182","USD_SEK",8.9453,2025-11-12 09:54:12,2025-11-11 20:51:11,-2326,-0.3267,0,3,NA,8.6186
"25202","NZD_USD",-8.0022,2025-11-12 00:24:20,2025-11-11 21:50:23,-3999,0,0,3,NA,-8.0022
"25206","USD_SEK",8.0568,2025-11-12 09:54:08,2025-11-11 21:50:25,-2326,-0.3267,0,3,NA,7.7301
"25230","NZD_USD",-8.0004,2025-11-12 00:24:50,2025-11-11 22:51:55,-3999,0,0,3,NA,-8.0004
"25234","USD_SEK",6.7858,2025-11-12 09:54:04,2025-11-11 22:51:57,-2326,-0.3267,0,3,NA,6.4591
"25250","NZD_USD",-8.0603,2025-11-12 00:34:24,2025-11-11 23:52:29,-3999,0,0,3,NA,-8.0603
"25254","USD_SEK",4.555,2025-11-12 09:54:00,2025-11-11 23:52:31,-2326,-0.3267,0,3,NA,4.2283
"25288","NZD_USD",4.5728,2025-11-12 09:53:56,2025-11-12 00:52:23,-3999,0.0189,0,3,NA,4.5917
"25292","USD_SEK",-4.4947,2025-11-12 09:53:53,2025-11-12 00:52:25,-2326,-0.3267,0,3,NA,-4.8214
"25399","NZD_USD",4.6987,2025-11-12 15:59:20,2025-11-12 10:52:03,-3999,0,0,3,NA,4.6987
"25403","USD_SEK",-8.1912,2025-11-12 15:22:32,2025-11-12 10:52:05,-2326,0,0,3,NA,-8.1912
"25411","NZD_USD",-0.7381,2025-11-12 17:52:32,2025-11-12 11:52:09,-3999,0,0,3,NA,-0.7381
"25415","USD_SEK",-8.2093,2025-11-12 15:40:31,2025-11-12 11:52:11,-2326,0,0,3,NA,-8.2093
"25423","NZD_USD",0.2436,2025-11-12 17:54:44,2025-11-12 12:52:03,-3999,0,0,3,NA,0.2436
"25427","USD_SEK",-1.2671,2025-11-12 17:54:40,2025-11-12 12:52:04,-2326,0,0,3,NA,-1.2671
"25435","NZD_USD",-2.2748,2025-11-12 18:59:45,2025-11-12 13:52:14,-3999,0,0,3,NA,-2.2748
"25439","USD_SEK",1.2882,2025-11-12 18:59:41,2025-11-12 13:52:16,-2326,0,0,3,NA,1.2882
"25447","NZD_USD",-2.6415,2025-11-12 19:59:13,2025-11-12 14:53:05,-3999,0,0,3,NA,-2.6415
"25451","USD_SEK",2.1067,2025-11-12 19:59:10,2025-11-12 14:53:07,-2326,0,0,3,NA,2.1067
"25463","NZD_USD",-4.9223,2025-11-12 21:52:28,2025-11-12 15:52:02,-3999,0,0,3,NA,-4.9223
"25467","USD_SEK",7.5985,2025-11-12 21:52:25,2025-11-12 15:52:03,-2326,0,0,3,NA,7.5985
"25479","NZD_USD",-1.9074,2025-11-12 21:56:09,2025-11-12 16:52:58,-3999,0,0,3,NA,-1.9074
"25483","USD_SEK",6.7985,2025-11-12 21:56:06,2025-11-12 16:53:00,-2326,0,0,3,NA,6.7985
"25487","USD_SEK",6.3436,2025-11-12 22:59:03,2025-11-12 17:47:19,-2326,0,0,3,NA,6.3436
"25503","USD_SEK",-4.2032,2025-11-13 00:57:37,2025-11-12 18:52:23,-2326,0,0,3,NA,-4.2032
"25523","USD_SEK",-4.2409,2025-11-13 00:59:48,2025-11-12 19:51:53,-2326,0,0,3,NA,-4.2409
"25543","USD_SEK",-8.1205,2025-11-13 01:27:16,2025-11-12 20:54:04,-2326,0,0,3,NA,-8.1205
"25547","USD_SEK",-8.1496,2025-11-13 01:12:29,2025-11-12 21:47:07,-2326,0,0,3,NA,-8.1496
"25567","USD_SEK",-8.1358,2025-11-13 00:30:20,2025-11-12 22:51:41,-2326,0,0,3,NA,-8.1358
"25583","NZD_USD",-3.3758,2025-11-13 06:00:21,2025-11-12 23:53:30,-3999,0,0,3,NA,-3.3758
"25587","USD_SEK",-8.1191,2025-11-13 00:31:27,2025-11-12 23:53:32,-2326,0,0,3,NA,-8.1191
"25599","NZD_USD",-6.3228,2025-11-13 06:06:06,2025-11-13 00:52:18,-3999,0,0,3,NA,-6.3228
"25603","USD_SEK",4.4335,2025-11-13 06:06:02,2025-11-13 00:52:20,-2326,0,0,3,NA,4.4335
"25624","NZD_USD",-7.9785,2025-11-13 05:48:13,2025-11-13 01:48:27,-3999,0,0,3,NA,-7.9785
"25628","USD_SEK",3.2069,2025-11-13 06:56:02,2025-11-13 01:48:29,-2326,0,0,3,NA,3.2069
"25640","NZD_USD",-10.3228,2025-11-13 09:04:55,2025-11-13 03:50:26,-3999,0.102,0,3,NA,-10.2208
"25644","USD_SEK",-4.8341,2025-11-13 09:59:45,2025-11-13 03:50:28,-2326,-0.9927,0,3,NA,-5.8268
"25648","NZD_USD",-9.1554,2025-11-13 09:04:55,2025-11-13 04:52:37,-3999,0.102,0,3,NA,-9.0534
"25652","USD_SEK",0.3598,2025-11-13 11:00:45,2025-11-13 04:52:39,-2326,-0.9927,0,3,NA,-0.6329
"25662","NZD_USD",5.7832,2025-11-13 11:06:06,2025-11-13 05:55:05,-3999,0.102,0,3,NA,5.8852
"25666","USD_SEK",-1.722,2025-11-13 11:06:02,2025-11-13 05:55:07,-2326,-0.9927,0,3,NA,-2.7147
"25686","NZD_USD",-8.1725,2025-11-13 09:08:14,2025-11-13 07:53:24,-3999,0.102,0,3,NA,-8.0705
"25690","USD_SEK",-1.1119,2025-11-13 14:03:04,2025-11-13 07:53:26,-2326,-0.9927,0,3,NA,-2.1046
"25698","NZD_USD",-8.3568,2025-11-13 09:08:14,2025-11-13 08:53:33,-3999,0.102,0,3,NA,-8.2548
"25702","USD_SEK",-2.6076,2025-11-13 14:06:06,2025-11-13 08:53:35,-2326,-0.9927,0,3,NA,-3.6003
"25719","NZD_USD",4.5498,2025-11-13 14:56:02,2025-11-13 09:54:29,-3999,0,0,3,NA,4.5498
"25723","USD_SEK",-8.4715,2025-11-13 10:00:00,2025-11-13 09:54:31,-2326,0,0,3,NA,-8.4715
