"id","Asset","realizedPL","date_closed","date_open","initialUnits","financing","dividendAdjustment","account_var","already_in_db","Net_Profit"
"24327","SG30_SGD",-3.9477,2025-10-14 18:06:57,2025-10-14 17:02:53,2.2,0,0,1,NA,-3.9477
"24331","USB10Y_USD",0.7973,2025-10-14 18:15:08,2025-10-14 17:02:55,14,-0.0088,0,1,NA,0.7885
"24357","BTC_USD",-2.2481,2025-10-14 18:14:54,2025-10-14 18:02:47,0.01,0,0,1,NA,-2.2481
"24361","EUR_NZD",-1.1182,2025-10-14 18:14:56,2025-10-14 18:02:49,1080,0,0,1,NA,-1.1182
"24365","JP225Y_JPY",-3.732,2025-10-14 18:07:49,2025-10-14 18:02:51,2,0,0,1,NA,-3.732
"24369","LTC_USD",-1.0161,2025-10-14 18:15:00,2025-10-14 18:02:52,0.76,0,0,1,NA,-1.0161
"24373","SG30_SGD",-1.1839,2025-10-14 18:15:03,2025-10-14 18:02:54,2.2,0,0,1,NA,-1.1839
"24477","BTC_USD",-9.0174,2025-10-14 21:18:45,2025-10-14 21:02:51,0.01,0,0,1,NA,-9.0174
"24481","EUR_NZD",-4.043,2025-10-15 00:09:04,2025-10-14 21:02:53,1080,0,0,1,NA,-4.043
"24485","JP225Y_JPY",-3.734,2025-10-14 21:30:35,2025-10-14 21:02:54,2,0,0,1,NA,-3.734
"24489","LTC_USD",3.6115,2025-10-15 14:24:44,2025-10-14 21:02:56,0.76,-0.0921,0,1,NA,3.5194
"24493","SG30_SGD",-3.9534,2025-10-14 21:38:59,2025-10-14 21:02:58,2.2,0,0,1,NA,-3.9534
"24497","USB10Y_USD",-4.3148,2025-10-14 22:55:12,2025-10-14 21:03:00,14,-0.0137,0,1,NA,-4.3285
"24507","BTC_USD",-8.975,2025-10-15 00:36:43,2025-10-14 22:02:45,0.01,0,0,1,NA,-8.975
"24511","EUR_NZD",-4.0163,2025-10-15 02:48:27,2025-10-14 22:02:47,1080,0,0,1,NA,-4.0163
"24515","JP225Y_JPY",17.7093,2025-10-15 14:24:42,2025-10-14 22:02:49,2,-0.0782,0,1,NA,17.6311
"24519","LTC_USD",4.6682,2025-10-15 14:24:44,2025-10-14 22:02:50,0.76,-0.0921,0,1,NA,4.5761
"24523","SG30_SGD",-3.9517,2025-10-15 00:43:53,2025-10-14 22:02:52,2.2,0,0,1,NA,-3.9517
"24527","USB10Y_USD",-4.2985,2025-10-15 00:00:44,2025-10-14 22:02:54,14,-0.0144,0,1,NA,-4.3129
"24533","BTC_USD",-9.1216,2025-10-14 23:58:46,2025-10-14 23:02:45,0.01,0,0,1,NA,-9.1216
"24537","EUR_NZD",-0.534,2025-10-15 14:24:39,2025-10-14 23:02:47,1080,-0.082,0,1,NA,-0.616
"24541","JP225Y_JPY",15.4845,2025-10-15 14:24:42,2025-10-14 23:02:49,2,-0.0782,0,1,NA,15.4063
"24545","LTC_USD",4.4708,2025-10-15 14:24:44,2025-10-14 23:02:51,0.76,-0.0921,0,1,NA,4.3787
"24549","SG30_SGD",-3.9495,2025-10-15 00:37:20,2025-10-14 23:02:52,2.2,0,0,1,NA,-3.9495
